ISO	Country	Subject Descriptor	Units	Scale	2010	Estimates Start After
AFG	Islamic Republic of Afghanistan	Gross domestic product per capita, current prices	U.S. dollars	Units	517.184	2007
ALB	Albania	Gross domestic product per capita, current prices	U.S. dollars	Units	3,676.945	2008
DZA	Algeria	Gross domestic product per capita, current prices	U.S. dollars	Units	4,435.431	2009
AGO	Angola	Gross domestic product per capita, current prices	U.S. dollars	Units	4,477.653	2000
ATG	Antigua and Barbuda	Gross domestic product per capita, current prices	U.S. dollars	Units	12,848.663	2009
ARG	Argentina	Gross domestic product per capita, current prices	U.S. dollars	Units	9,138.177	2006
ARM	Armenia	Gross domestic product per capita, current prices	U.S. dollars	Units	2,845.759	2010
AUS	Australia	Gross domestic product per capita, current prices	U.S. dollars	Units	55,589.549	2010
AUT	Austria	Gross domestic product per capita, current prices	U.S. dollars	Units	44,986.583	2010
AZE	Azerbaijan	Gross domestic product per capita, current prices	U.S. dollars	Units	6,008.248	2009
BHS	The Bahamas	Gross domestic product per capita, current prices	U.S. dollars	Units	21,878.573	2008
BHR	Bahrain	Gross domestic product per capita, current prices	U.S. dollars	Units	20,474.819	2009
BGD	Bangladesh	Gross domestic product per capita, current prices	U.S. dollars	Units	637.908	2009
BRB	Barbados	Gross domestic product per capita, current prices	U.S. dollars	Units	14,326.463	2009
BLR	Belarus	Gross domestic product per capita, current prices	U.S. dollars	Units	5,800.429	2009
BEL	Belgium	Gross domestic product per capita, current prices	U.S. dollars	Units	42,630.113	2009
BLZ	Belize	Gross domestic product per capita, current prices	U.S. dollars	Units	4,158.712	2008
BEN	Benin	Gross domestic product per capita, current prices	U.S. dollars	Units	689.461	2010
BTN	Bhutan	Gross domestic product per capita, current prices	U.S. dollars	Units	1,978.276	0
BOL	Bolivia	Gross domestic product per capita, current prices	U.S. dollars	Units	1,858.142	2004
BIH	Bosnia and Herzegovina	Gross domestic product per capita, current prices	U.S. dollars	Units	4,318.677	1991
BWA	Botswana	Gross domestic product per capita, current prices	U.S. dollars	Units	7,627.463	2008
BRA	Brazil	Gross domestic product per capita, current prices	U.S. dollars	Units	10,816.487	2009
BRN	Brunei Darussalam	Gross domestic product per capita, current prices	U.S. dollars	Units	31,238.640	2009
BGR	Bulgaria	Gross domestic product per capita, current prices	U.S. dollars	Units	6,334.337	2010
BFA	Burkina Faso	Gross domestic product per capita, current prices	U.S. dollars	Units	597.534	2010
BDI	Burundi	Gross domestic product per capita, current prices	U.S. dollars	Units	180.073	0
KHM	Cambodia	Gross domestic product per capita, current prices	U.S. dollars	Units	813.798	2008
CMR	Cameroon	Gross domestic product per capita, current prices	U.S. dollars	Units	1,100.603	2010
CAN	Canada	Gross domestic product per capita, current prices	U.S. dollars	Units	46,214.914	2010
CPV	Cape Verde	Gross domestic product per capita, current prices	U.S. dollars	Units	3,156.627	2007
CAF	Central African Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	435.978	2004
TCD	Chad	Gross domestic product per capita, current prices	U.S. dollars	Units	767.733	2004
CHL	Chile	Gross domestic product per capita, current prices	U.S. dollars	Units	11,827.958	2009
CHN	China	Gross domestic product per capita, current prices	U.S. dollars	Units	4,382.136	2010
COL	Colombia	Gross domestic product per capita, current prices	U.S. dollars	Units	6,273.372	2009
COM	Comoros	Gross domestic product per capita, current prices	U.S. dollars	Units	802.475	2003
COD	Democratic Republic of Congo	Gross domestic product per capita, current prices	U.S. dollars	Units	186.278	1983
COG	Republic of Congo	Gross domestic product per capita, current prices	U.S. dollars	Units	2,983.467	2004
CRI	Costa Rica	Gross domestic product per capita, current prices	U.S. dollars	Units	7,842.862	2010
CIV	Côte d'Ivoire	Gross domestic product per capita, current prices	U.S. dollars	Units	1,036.164	2008
HRV	Croatia	Gross domestic product per capita, current prices	U.S. dollars	Units	13,720.239	2009
CYP	Cyprus	Gross domestic product per capita, current prices	U.S. dollars	Units	28,236.971	2009
CZE	Czech Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	18,288.284	2010
DNK	Denmark	Gross domestic product per capita, current prices	U.S. dollars	Units	56,147.143	2010
DJI	Djibouti	Gross domestic product per capita, current prices	U.S. dollars	Units	1,383.053	0
DMA	Dominica	Gross domestic product per capita, current prices	U.S. dollars	Units	5,167.445	2005
DOM	Dominican Republic	Gross domestic product per capita, current prices	U.S. dollars	Units	5,228.229	2004
ECU	Ecuador	Gross domestic product per capita, current prices	U.S. dollars	Units	3,983.802	2001
EGY	Egypt	Gross domestic product per capita, current prices	U.S. dollars	Units	2,788.829	2008
SLV	El Salvador	Gross domestic product per capita, current prices	U.S. dollars	Units	3,700.755	2007
GNQ	Equatorial Guinea	Gross domestic product per capita, current prices	U.S. dollars	Units	11,033.264	2010
